title,company,location,date,link
Expression Of Interest,White Peak Digital,"High Peak, England, United Kingdom",2026-07-18,https://uk.linkedin.com/jobs/view/expression-of-interest-at-white-peak-digital-4442450354?position=4&pageNum=0&refId=%2FTeXUAIPWrOWQZN7%2BAGf9w%3D%3D&trackingId=FqV4mTn9kXZzy8XS3Dpshw%3D%3D
VACANCIES,NEW VINE LIMITED,"Grimsby, England, United Kingdom",2026-07-21,https://uk.linkedin.com/jobs/view/vacancies-at-new-vine-limited-4442624095?position=5&pageNum=0&refId=%2FTeXUAIPWrOWQZN7%2BAGf9w%3D%3D&trackingId=C8oTu4Bd33o3L6x9AcTT8w%3D%3D
Job 5,TSC Travels,"Cambridge, England, United Kingdom",2026-07-19,https://uk.linkedin.com/jobs/view/job-5-at-tsc-travels-4442531413?position=6&pageNum=0&refId=%2FTeXUAIPWrOWQZN7%2BAGf9w%3D%3D&trackingId=KBwkpOYYFbmzlkvc7TJWtg%3D%3D
Expression Of Interest,White Peak Digital,"High Peak, England, United Kingdom",2026-07-18,https://uk.linkedin.com/jobs/view/expression-of-interest-at-white-peak-digital-4442450354?position=4&pageNum=2&refId=jk5SvDlrfaI1Ljw3ooh5XA%3D%3D&trackingId=J%2FLk0eaKpthMi6s77UPZVw%3D%3D
VACANCIES,NEW VINE LIMITED,"Grimsby, England, United Kingdom",2026-07-21,https://uk.linkedin.com/jobs/view/vacancies-at-new-vine-limited-4442624095?position=5&pageNum=2&refId=jk5SvDlrfaI1Ljw3ooh5XA%3D%3D&trackingId=zFyGyEePa2vAP8J709WtNg%3D%3D
Job 5,TSC Travels,"Cambridge, England, United Kingdom",2026-07-19,https://uk.linkedin.com/jobs/view/job-5-at-tsc-travels-4442531413?position=6&pageNum=2&refId=jk5SvDlrfaI1Ljw3ooh5XA%3D%3D&trackingId=aExjMNBHAOmuovWBALZ06g%3D%3D
Executive Assistant,Propel,"London Area, United Kingdom",2026-07-21,https://uk.linkedin.com/jobs/view/executive-assistant-at-propel-4443394527?position=1&pageNum=5&refId=viLlP0cQvttTdQJmiAtBrw%3D%3D&trackingId=h35n8m3ZFVllLW1FpsyIXw%3D%3D
Sales Manager - Milano,Polène Paris,"Milan, Lombardy, Italy",2026-07-21,https://it.linkedin.com/jobs/view/sales-manager-milano-at-pol%C3%A8ne-paris-4443379486?position=2&pageNum=5&refId=viLlP0cQvttTdQJmiAtBrw%3D%3D&trackingId=SdDg0IozobJ%2B08rT71Clqw%3D%3D
Accogliente Impiegato/a Accettazione Clienti Ospitalità e Turismo,Giucas,"Schio, Veneto, Italy",2026-07-21,https://it.linkedin.com/jobs/view/accogliente-impiegato-a-accettazione-clienti-ospitalit%C3%A0-e-turismo-at-giucas-4442644114?position=3&pageNum=5&refId=viLlP0cQvttTdQJmiAtBrw%3D%3D&trackingId=EitT3rvz5a%2BwkzkhfUw9VA%3D%3D
(fluent English) Customer Support Consultant (Remote),SupportYourApp,"Warsaw, Mazowieckie, Poland",2026-07-21,https://pl.linkedin.com/jobs/view/fluent-english-customer-support-consultant-remote-at-supportyourapp-4443379722?position=4&pageNum=5&refId=viLlP0cQvttTdQJmiAtBrw%3D%3D&trackingId=vlHy51kWHDlmwhtimR5r2w%3D%3D
Office Manager,RHR,"Greater London, England, United Kingdom",2026-07-21,https://uk.linkedin.com/jobs/view/office-manager-at-rhr-4442651332?position=5&pageNum=5&refId=viLlP0cQvttTdQJmiAtBrw%3D%3D&trackingId=kOxFIJhTG11ADsaVPskqhQ%3D%3D
IMPIEGATO/A AMMINISTRATIVO/A PART-TIME (24 ORE SETTIMANALI),ILPRA,"Villorba, Veneto, Italy",2026-07-21,https://it.linkedin.com/jobs/view/impiegato-a-amministrativo-a-part-time-24-ore-settimanali-at-ilpra-4440460749?position=6&pageNum=5&refId=viLlP0cQvttTdQJmiAtBrw%3D%3D&trackingId=HG1FVfhrY0p3GfIrETDRAw%3D%3D
Sales Manager,Everlast Gyms,"Epsom, England, United Kingdom",2026-07-21,https://uk.linkedin.com/jobs/view/sales-manager-at-everlast-gyms-4443397978?position=7&pageNum=5&refId=viLlP0cQvttTdQJmiAtBrw%3D%3D&trackingId=tbplkHRYkm59sujbdt6Qyg%3D%3D
Addetto/a amministrazione per servizi home supply,Giucas,"Arzignano, Veneto, Italy",2026-07-21,https://it.linkedin.com/jobs/view/addetto-a-amministrazione-per-servizi-home-supply-at-giucas-4442635640?position=8&pageNum=5&refId=viLlP0cQvttTdQJmiAtBrw%3D%3D&trackingId=VDM3B1iL4OT9P3fEWkYnLw%3D%3D
Impiegato/a Front-Office – Settore Tessile,C.S.S. Group,"Parma, Emilia-Romagna, Italy",2026-07-21,https://it.linkedin.com/jobs/view/impiegato-a-front-office-%E2%80%93-settore-tessile-at-c-s-s-group-4442629799?position=9&pageNum=5&refId=viLlP0cQvttTdQJmiAtBrw%3D%3D&trackingId=cGlDDMZGIeg1TNiEoQBdHg%3D%3D
